array_index,path,class,subject_id,source,filename,split,class_id
0,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-1.jpg,1-Hay,254,augmented,s0254-10hay-Generated-1.jpg,train,0
1,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-10.jpg,1-Hay,254,augmented,s0254-10hay-Generated-10.jpg,train,0
2,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-11.jpg,1-Hay,254,augmented,s0254-10hay-Generated-11.jpg,train,0
3,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-12.jpg,1-Hay,254,augmented,s0254-10hay-Generated-12.jpg,train,0
4,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-13.jpg,1-Hay,254,augmented,s0254-10hay-Generated-13.jpg,train,0
5,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-14.jpg,1-Hay,254,augmented,s0254-10hay-Generated-14.jpg,train,0
6,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-16.jpg,1-Hay,254,augmented,s0254-10hay-Generated-16.jpg,train,0
7,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-17.jpg,1-Hay,254,augmented,s0254-10hay-Generated-17.jpg,train,0
8,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-18.jpg,1-Hay,254,augmented,s0254-10hay-Generated-18.jpg,train,0
9,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-19.jpg,1-Hay,254,augmented,s0254-10hay-Generated-19.jpg,train,0
