rank,feature_index,feature_name,tuey_mean,bay_mean,absolute_difference,pooled_std,effect_size
1,49,Landmark 16 y,-0.3623197078704834,-0.942967414855957,0.5806477069854736,0.07655125111341476,7.585083961486816
2,61,Landmark 20 y,-0.34023788571357727,-0.8116783499717712,0.47144046425819397,0.07709375768899918,6.115156650543213
3,37,Landmark 12 y,-0.4188142418861389,-0.9996616840362549,0.580847442150116,0.09796470403671265,5.929149627685547
4,46,Landmark 15 y,-0.41721752285957336,-0.8382254838943481,0.4210079610347748,0.07720339298248291,5.453230857849121
5,83,V2 Feature 83,0.9291521906852722,0.5437049865722656,0.3854472041130066,0.07599389553070068,5.072080612182617
6,34,Landmark 11 y,-0.4846450388431549,-0.8823630213737488,0.39771798253059387,0.08686637878417969,4.578502655029297
7,58,Landmark 19 y,-0.3632511794567108,-0.7246145009994507,0.36136332154273987,0.07906408607959747,4.570511341094971
8,60,Landmark 20 x,0.7493585348129272,0.0025296881794929504,0.7468288540840149,0.16686296463012695,4.475701332092285
9,102,V2 Feature 102,0.5927309393882751,0.18697009980678558,0.40576082468032837,0.09089143574237823,4.464235782623291
10,57,Landmark 19 x,0.6033968329429626,-0.04832243174314499,0.6517192721366882,0.14864854514598846,4.38429594039917
11,54,Landmark 18 x,0.4143363833427429,-0.09723329544067383,0.5115696787834167,0.12753427028656006,4.011232376098633
12,76,V2 Feature 76,0.4107300043106079,0.22067005932331085,0.19005994498729706,0.047866784036159515,3.9706010818481445
13,80,V2 Feature 80,0.3220171630382538,0.17398804426193237,0.1480291187763214,0.039002809673547745,3.7953438758850098
14,93,V2 Feature 93,0.9364373087882996,0.6138220429420471,0.32261526584625244,0.0859844833612442,3.752017021179199
15,99,V2 Feature 99,0.27900147438049316,0.6758010387420654,0.39679956436157227,0.10633095353841782,3.731740713119507
16,12,Landmark  4 x,0.8067255020141602,0.08333610743284225,0.7233893871307373,0.19856733083724976,3.643043041229248
17,5,Landmark  1 z,0.008938525803387165,-0.18478749692440033,0.19372601807117462,0.054427843540906906,3.5593175888061523
18,100,V2 Feature 100,0.2665083110332489,0.5472403168678284,0.28073200583457947,0.08226677030324936,3.412458896636963
19,48,Landmark 16 x,0.8823923468589783,0.22493652999401093,0.6574558019638062,0.19350658357143402,3.3975884914398193
20,72,V2 Feature 72,0.4118703007698059,0.2410937249660492,0.1707765758037567,0.05080394074320793,3.3614821434020996
