rank,feature_index,feature_name,importance
1,83,V2 Feature 83,0.10528773610140299
2,49,Landmark 16 y,0.07155631397014235
3,99,V2 Feature 99,0.06045128075925357
4,58,Landmark 19 y,0.05730578103168424
5,46,Landmark 15 y,0.05703075209586939
6,60,Landmark 20 x,0.05599107553176876
7,55,Landmark 18 y,0.050200919875585864
8,37,Landmark 12 y,0.04941887727055533
9,61,Landmark 20 y,0.048553108033734166
10,43,Landmark 14 y,0.043644163026959844
11,54,Landmark 18 x,0.04274351559081879
12,57,Landmark 19 x,0.03835621523847735
13,12,Landmark  4 x,0.032889042058053236
14,76,V2 Feature 76,0.03228013184207697
15,5,Landmark  1 z,0.02615747012030872
16,80,V2 Feature 80,0.025041475132355117
17,100,V2 Feature 100,0.023811210306746336
18,48,Landmark 16 x,0.022134757625455723
19,34,Landmark 11 y,0.019912736178863362
20,102,V2 Feature 102,0.019715804615608713
