feature_index,feature_name,importance
61,Landmark 20 y,0.042521051350686484
58,Landmark 19 y,0.04129170509040497
107,V2 Feature 107,0.03782441147072773
49,Landmark 16 y,0.0345913522210254
4,Landmark  1 y,0.031589525714068575
48,Landmark 16 x,0.030709446536960536
60,Landmark 20 x,0.0283554263001839
46,Landmark 15 y,0.02780433807250458
55,Landmark 18 y,0.025486704038577203
90,V2 Feature 90,0.024811881425867717
45,Landmark 15 x,0.02443072331173371
102,V2 Feature 102,0.023763244107645135
54,Landmark 18 x,0.023377587339071294
37,Landmark 12 y,0.022082274509425563
57,Landmark 19 x,0.020508974377377545
83,V2 Feature 83,0.02025878467760237
106,V2 Feature 106,0.0189350493727144
12,Landmark  4 x,0.017949677072031652
51,Landmark 17 x,0.017941892883390192
5,Landmark  1 z,0.016511829986195728
91,V2 Feature 91,0.01604336717178322
92,V2 Feature 92,0.015647285135351414
103,V2 Feature 103,0.015467536835376978
87,V2 Feature 87,0.015395508800700272
88,V2 Feature 88,0.015065749646414859
36,Landmark 12 x,0.013850885570337099
74,V2 Feature 74,0.013543421294979414
89,V2 Feature 89,0.013256564675543538
86,V2 Feature 86,0.013012560940341802
7,Landmark  2 y,0.011778761406114866
85,V2 Feature 85,0.01098264668225747
96,V2 Feature 96,0.010676776346116556
76,V2 Feature 76,0.01023364124712573
42,Landmark 14 x,0.009802678887334144
81,V2 Feature 81,0.009489053017947597
105,V2 Feature 105,0.009474351627730105
43,Landmark 14 y,0.008888587527594114
100,V2 Feature 100,0.008686181348062587
101,V2 Feature 101,0.008589781193439375
34,Landmark 11 y,0.008118496443799875
52,Landmark 17 y,0.007789086474379266
3,Landmark  1 x,0.00706670345107021
99,V2 Feature 99,0.006776037218391613
10,Landmark  3 y,0.006755497617066472
9,Landmark  3 x,0.0062042758273622035
33,Landmark 11 x,0.006197838220298833
22,Landmark  7 y,0.006118020110308374
6,Landmark  2 x,0.005857546493503005
8,Landmark  2 z,0.005719793148337067
19,Landmark  6 y,0.005593501873607949
25,Landmark  8 y,0.005586925220894405
11,Landmark  3 z,0.005511500480740773
97,V2 Feature 97,0.00521582224187987
80,V2 Feature 80,0.00521540557140296
66,V2 Feature 66,0.0051758565375731
93,V2 Feature 93,0.004651863548745208
95,V2 Feature 95,0.00448724441945079
56,Landmark 18 z,0.0043854171286808645
68,V2 Feature 68,0.004232431999633773
39,Landmark 13 x,0.004144986269297267
72,V2 Feature 72,0.0039989801699875345
82,V2 Feature 82,0.003884539834555111
84,V2 Feature 84,0.003843687742233832
24,Landmark  8 x,0.0036258384863823777
29,Landmark  9 z,0.003615668046599767
67,V2 Feature 67,0.0034818118350742455
44,Landmark 14 z,0.0034334053093809684
23,Landmark  7 z,0.0034269229801130352
59,Landmark 19 z,0.0033840798996820232
62,Landmark 20 z,0.0033819327584669588
28,Landmark  9 y,0.0032228928224377886
14,Landmark  4 z,0.003082517338243869
31,Landmark 10 y,0.003047644724998561
114,V2 Feature 114,0.0030047003770326056
26,Landmark  8 z,0.002882058760893973
70,V2 Feature 70,0.00287690023270941
13,Landmark  4 y,0.002682332607284079
104,V2 Feature 104,0.002667789931550477
109,V2 Feature 109,0.0026503695831896833
108,V2 Feature 108,0.0026050557830621405
112,V2 Feature 112,0.002602895890446026
32,Landmark 10 z,0.0025879654098515587
16,Landmark  5 y,0.0024498551509061993
40,Landmark 13 y,0.002422398976653659
75,V2 Feature 75,0.002364958389107185
94,V2 Feature 94,0.0023180092076543336
64,V2 Feature 64,0.0021721495751064863
98,V2 Feature 98,0.0020547497608625473
71,V2 Feature 71,0.0019998954450002973
50,Landmark 16 z,0.0018821545967710016
113,V2 Feature 113,0.0018770225404106558
21,Landmark  7 x,0.0018598258540150738
63,V2 Feature 63,0.00185349243335705
69,V2 Feature 69,0.0018158865657209031
41,Landmark 13 z,0.0016192144417392325
73,V2 Feature 73,0.0015133238523887735
79,V2 Feature 79,0.0014968125218380857
30,Landmark 10 x,0.001488043482801062
110,V2 Feature 110,0.0014181173218816955
20,Landmark  6 z,0.0013691662524395365
15,Landmark  5 x,0.0013578283240120665
111,V2 Feature 111,0.00134585335727427
35,Landmark 11 z,0.0013207069421004847
27,Landmark  9 x,0.0012886706324685899
47,Landmark 15 z,0.001261099983507692
17,Landmark  5 z,0.001259252729564905
78,V2 Feature 78,0.0011999792254553474
18,Landmark  6 x,0.0011969918694689518
77,V2 Feature 77,0.0011594185887740826
53,Landmark 17 z,0.0011274488883402684
65,V2 Feature 65,0.0011029725619651092
38,Landmark 12 z,0.000979240495068801
0,Landmark  0 x,0.0
1,Landmark  0 y,0.0
2,Landmark  0 z,0.0
