feature_set,feature_index,feature,tuey_mean,daal_mean,absolute_difference,effect_size
V2,107,V2_Feature_107,0.13143569,0.16363543,0.03219974,1.2163401
Geometry,134,tip_distance_16_20,0.21349408,0.26430666,0.050812587,1.0550308
V2,77,V2_Feature_77,0.21100074,0.24223156,0.031230822,0.96966153
V2,96,V2_Feature_96,0.89452416,1.0088109,0.11428672,0.942561
V2,78,V2_Feature_78,0.1462381,0.1685976,0.02235949,0.89165545
Geometry,136,tip_distance_4_16,0.3543461,0.47381762,0.11947152,0.8689462
V2,100,V2_Feature_100,0.22076268,0.29534027,0.074577585,0.84496886
Geometry,168,joint_angle_8,2.9545305,2.9909132,0.036382675,0.8219591
V2,90,V2_Feature_90,0.9404562,0.9520371,0.011580884,0.8219545
V2,73,V2_Feature_73,0.22090374,0.24995504,0.029051304,0.81520736
V2,97,V2_Feature_97,0.7934921,0.8832901,0.08979803,0.7414929
Geometry,53,relative_landmark_17_z,-0.24497496,-0.30058792,0.055612966,0.7301888
V2,53,V2_Feature_53,-0.24497496,-0.30058792,0.055612966,0.7301888
V2,56,V2_Feature_56,-0.3307657,-0.3941757,0.063410014,0.67165786
Geometry,56,relative_landmark_18_z,-0.3307657,-0.3941757,0.063410014,0.67165786
Geometry,41,relative_landmark_13_z,-0.18380553,-0.22450775,0.040702224,0.6694978
V2,41,V2_Feature_41,-0.18380553,-0.22450775,0.040702224,0.6694978
V2,74,V2_Feature_74,0.1578907,0.17751087,0.019620165,0.6655295
V2,81,V2_Feature_81,0.16665617,0.18846822,0.021812052,0.65644217
V2,82,V2_Feature_82,0.12647258,0.14418472,0.017712146,0.65428776
Geometry,59,relative_landmark_19_z,-0.34846845,-0.41013908,0.06167063,0.6427715
V2,59,V2_Feature_59,-0.34846845,-0.41013908,0.06167063,0.6427715
V2,85,V2_Feature_85,0.96476436,0.94665724,0.018107116,0.6422675
Geometry,163,joint_angle_3,3.0308955,2.9740114,0.05688405,0.64225787
Geometry,91,normalized_landmark_9_y,-0.944726,-0.9130654,0.031660616,0.62755585
Geometry,159,wrist_to_tip_16,1.4602393,1.6244954,0.1642561,0.6213215
