test_index,true_class,v2_prediction,geometry_prediction,v2_correct,geometry_correct,category,v2_confidence,geometry_nearest_distance,path,filename,subject_id,source,class,split
83,Daal,Tuey,Tuey,False,False,Both wrong,0.5718700885772705,9.100170135498047,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0258-13daal.jpg,s0258-13daal.jpg,258,original,Daal,test
84,Daal,Daal,Tuey,True,False,V2 correct / Geometry wrong,0.6352425217628479,2.50393009185791,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0261-13daal.jpg,s0261-13daal.jpg,261,original,Daal,test
85,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.5801690816879272,2.89933705329895,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0269-13daal.jpg,s0269-13daal.jpg,269,original,Daal,test
86,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.7820513844490051,5.066666603088379,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0271-13daal.jpg,s0271-13daal.jpg,271,original,Daal,test
87,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.8176022171974182,3.338740825653076,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0272-13daal.jpg,s0272-13daal.jpg,272,original,Daal,test
88,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.9649138450622559,4.9235053062438965,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0286-13daal.jpg,s0286-13daal.jpg,286,original,Daal,test
89,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.9573058485984802,5.396656513214111,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0289-13daal.jpg,s0289-13daal.jpg,289,original,Daal,test
90,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.5473707914352417,6.482322692871094,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0294-13daal.JPG,s0294-13daal.JPG,294,original,Daal,test
91,Daal,Daal,Daal,True,True,V2 correct / Geometry correct,0.8320733308792114,5.3119659423828125,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0313-13daal.JPG,s0313-13daal.JPG,313,original,Daal,test
92,Daal,Daal,Tuey,True,False,V2 correct / Geometry wrong,0.5863299369812012,7.974557399749756,C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\Daal-Original\s0327-13daal.JPG,s0327-13daal.JPG,327,original,Daal,test
